Date,Team,Acquired,Relinquished,Notes
11/25/2016,Nets,,Rondae Hollis-Jefferson,sore right ankle (DTD)
11/25/2016,Nuggets,,Juancho Hernangomez / Juan Hernangomez,sore/sprained right ankle (DTD)
11/25/2016,Pacers,,Kevin Seraphin,sore left knee (DTD)
11/25/2016,Pacers,,Paul George,sore back / left ankle (DTD)
11/25/2016,Pacers,Joe Young,,returned to lineup
11/25/2016,Raptors,,Delon Wright,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD)
11/25/2016,Suns,Tyson Chandler,,activated from IL
11/25/2016,Wizards,,Danuel House,fractured right wrist (out indefinitely)
11/25/2016,Nuggets,,Gary Harris,right foot injury (DTD)
11/26/2016,Hornets,,Nicolas Batum,corneal abrasion (DTD)
11/26/2016,Warriors,,Draymond Green,bruised left ankle (DTD)
11/27/2016,76ers,,Jerryd Bayless,sore left wrist (out for season)
11/27/2016,76ers,Joel Embiid,,returned to lineup
11/27/2016,Cavaliers,,Iman Shumpert,sore/strained left hamstring (DTD)
11/27/2016,Heat,,Dion Waiters,strained right groin (DTD)
11/27/2016,Lakers,Nick Young,,returned to lineup
11/27/2016,Mavericks,,Dirk Nowitzki,sore/strained right Achilles (DTD)
11/27/2016,Pacers,,Kevin Seraphin,sore left knee (DTD)
11/27/2016,Pelicans,Alexis Ajinca / Alex Ajinca,,returned to lineup
11/27/2016,Suns,,Jared Dudley,sore left foot (DTD)
11/27/2016,Nuggets,,Will Barton,rehab of left ankle (DTD)
11/28/2016,76ers,,Joel Embiid,rest (DTD)
11/28/2016,Celtics,,Al Horford,placed on IL for personal reasons
11/28/2016,Heat,,Tyler Johnson,oral surgery to replace lost tooth (DTD)
11/28/2016,Heat,Goran Dragic,,returned to lineup
11/28/2016,Hornets,Nicolas Batum,,returned to lineup
11/28/2016,Warriors,Draymond Green,,returned to lineup
11/29/2016,Cavaliers,Iman Shumpert,,returned to lineup
11/29/2016,Clippers,,Blake Griffin,rest (DTD)
11/29/2016,Grizzlies,,Mike Conley,sore lower back (DTD)
11/29/2016,Grizzlies,,Vince Carter,sore right hip (DTD)
11/29/2016,Lakers,Julius Randle,,returned to lineup
11/29/2016,Nets,Rondae Hollis-Jefferson,,returned to lineup
11/29/2016,Pistons,,Henry Ellenson,sprained right ankle (DTD)
11/30/2016,Celtics,Al Horford,,activated from IL
11/30/2016,Hawks,,Paul Millsap,sore left hip (DTD)
11/30/2016,Heat,,Josh Richardson,sore/sprained right ankle (DTD)
11/30/2016,Heat,Tyler Johnson,,returned to lineup
11/30/2016,Heat,Willie Reed,,returned to lineup
11/30/2016,Knicks,,Courtney Lee,sprained left ankle (DTD)
11/30/2016,Lakers,,Nick Young,strained right calf (DTD)
11/30/2016,Nuggets,,Darrell Arthur,illness (DTD)
11/30/2016,Nuggets,Danilo Gallinari,,returned to lineup
11/30/2016,Nuggets,Juancho Hernangomez / Juan Hernangomez,,returned to lineup
11/30/2016,Nuggets,Mike Miller,,activated from IL
11/30/2016,Spurs,,(William) Tony Parker,rest (DTD)
11/30/2016,Suns,Jared Dudley,,returned to lineup
12/1/2016,Cavaliers,Channing Frye,,activated from IL
12/1/2016,Clippers,Blake Griffin,,returned to lineup
12/1/2016,Heat,,Derrick Williams,back spasms (DTD)
12/1/2016,Jazz,,George Hill,sprained left big toe (DTD)
12/1/2016,Jazz,,Rodney Hood,strained right hamstring (DTD)
12/1/2016,Mavericks,,Andrew Bogut,rest (DTD)
12/1/2016,Mavericks,,Seth Curry,bruised/strained/sprained right knee (DTD)
12/2/2016,76ers,,Robert Covington,sprained left ankle (DTD)
12/2/2016,76ers,Joel Embiid,,returned to lineup
12/2/2016,Celtics,Al Horford,,activated from IL
12/2/2016,Clippers,,J.J. Redick,rest (DTD)
12/2/2016,Nuggets,Darrell Arthur,,returned to lineup
12/2/2016,Nuggets,Mike Miller,,activated from IL
12/2/2016,Nuggets,Will Barton,,returned to lineup
12/2/2016,Raptors,,DeMarre Carroll,rest (DTD)
